"features.fid"	"feature_types.id"	"feature_relations.related_feature.fid"	"perspectives.code"	"feature_relations.type.code"	"1.feature_names.name"	"1.languages.name"	"1.writing_systems.name"	"1.feature_names.info_source.code"	"2.feature_names.name"	"2.languages.name"	"2.writing_systems.name"	"2.feature_name_relations.parent_node"	"2.feature_name_relations.is_orthographic"	"2.orthographic_systems.code"	"3.feature_names.name"	"3.languages.name"	"3.writing_systems.name"	"3.feature_name_relations.parent_node"	"3.feature_name_relations.is_phonetic"	"3.phonetic_systems.name"	"4.feature_names.name"	"4.languages.name"	"4.writing_systems.name"	"feature_types.1.time_units.season_id"	"feature_types.1.time_units.date"	"feature_types.1.time_units.start_date"	"feature_types.1.time_units.end_date"	"feature_types.2.time_units.season_id"	"feature_types.2.time_units.date"	"feature_types.2.time_units.start_date"	"feature_types.2.time_units.end_date"	"feature_types.3.time_units.season_id"	"feature_types.3.time_units.date"	"feature_types.3.time_units.start_date"	"feature_types.3.time_units.end_date"	"feature_types.4.time_units.season_id"	"feature_types.4.time_units.date"	"feature_types.4.time_units.start_date"	"feature_types.4.time_units.end_date"	"feature_types.5.time_units.season_id"	"feature_types.5.time_units.date"	"feature_types.5.time_units.start_date"	"feature_types.5.time_units.end_date"	"feature_types.6.time_units.season_id"	"feature_types.6.time_units.date"	"feature_types.6.time_units.start_date"	"feature_types.6.time_units.end_date"	"feature_types.7.time_units.season_id"	"feature_types.7.time_units.date"	"feature_types.7.time_units.start_date"	"feature_types.7.time_units.end_date"	"feature_types.8.time_units.season_id"	"feature_types.8.time_units.date"	"feature_types.8.time_units.start_date"	"feature_types.8.time_units.end_date"
8074	4504	15483	"pol.rel"	"is.administered.by"	"མོང་པུ་སྲལ་འཛོང"	"Tibetan"	"Tibetan script"	" OTA"	"mong pu sral 'dzong"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Mongpu Seldzong"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Mong"	"Tibetan"	"Latin script"					4	717																										
8075	4504	15483	"pol.rel"	"is.administered.by"	"འདོང་ཀའི་ནེ་ཙོ་ལུང"	"Tibetan"	"Tibetan script"	" OTA"	"dong ka'i ne tso lung"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Dongké Netsolung"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"				2	673																														
8076	4504	15483	"pol.rel"	"is.administered.by"	"དུངས་གྱི་སྟག་ཙལ"	"Tibetan"	"Tibetan script"	" OTA"	"dungs gyi stag tsal"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Dunggyi Taktsel"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"				4	673																														
8077	4504	15483	"pol.rel"	"is.administered.by"	"གླག་གི་པུ་ཅུང"	"Tibetan"	"Tibetan script"	" OTA"	"glag gi pu cung"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Lakgi Puchung"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Lak"	"Tibetan"	"Latin script"	4	674			4	678			4	685			4	694			4	701			2	756			2	762			2	764		
8078	4504	15483	"pol.rel"	"is.administered.by"	"མདན"	"Tibetan"	"Tibetan script"	" OTA"	"mdan"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Den"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Dan"	"Tibetan"	"Latin script"	4	678																														
8079	4504	15483	"pol.rel"	"is.administered.by"	"རུ་རིངས"	"Tibetan"	"Tibetan script"	" OTA"	"ru rings"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Ruring"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"				2	680																														
8080	4504	15483	"pol.rel"	"is.administered.by"	"སྤྲགས་གྱི་མུར་གས"	"Tibetan"	"Tibetan script"	" OTA"	"sprags gyi mur gas"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Trakgyi Murgé"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Drak"	"Tibetan"	"Latin script"	3	680			2	683																										
8081	4504	15483	"pol.rel"	"is.administered.by"	"བམས་གྱི་གཡག་རུ"	"Tibetan"	"Tibetan script"	" OTA"	"bams gyi g.yag ru"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Bamgyi Yakru"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"				4	680																														
8082	4504	15483	"pol.rel"	"is.administered.by"	"ཟྲིད་མད"	"Tibetan"	"Tibetan script"	" OTA"	"zrid mda"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Zimé"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"				2	681																														
8083	4504	15483	"pol.rel"	"is.administered.by"	"རྒྱས་གྱི་ལུང་རིངས"	"Tibetan"	"Tibetan script"	" OTA"	"rgyas gyi lung rings"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Gyegyi Lungring"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"				4	681																														
