"features.fid"	"feature_types.time_units.start_date"	"feature_types.time_units.end_date"	"feature_types.time_units.start_date.certainty_id"	"feature_types.time_units.end_date.certainty_id"	"feature_types.id"	"feature_types.info_source.code"	"feature_relations.related_feature.fid"	"perspectives.code"	"feature_relations.type.code"	"1.feature_names.name"	"1.languages.name"	"1.writing_systems.name"	"1.feature_names.info_source.code"	"2.feature_names.name"	"2.languages.name"	"2.writing_systems.name"	"2.feature_name_relations.parent_node"	"2.feature_name_relations.is_orthographic"	"2.orthographic_systems.code"	"3.feature_names.name"	"3.languages.name"	"3.writing_systems.name"	"3.feature_name_relations.parent_node"	"3.feature_name_relations.is_phonetic"	"3.phonetic_systems.name"	"4.feature_names.name"	"4.languages.name"	"4.writing_systems.name"
7933	"654-744"	"842-866"	3	3	4501	"Chos1564"	8148	"pol.admin.hier"	"is.administered.by"	"སྟོད་ལུང"	"Tibetan"	"Tibetan script"	"Chos1564"	"stod lung"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Tölung"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Tolung"	"Tibetan"	"Latin script"
7934	"654-744"	"842-866"	3	3	4501	"Chos1564"	8148	"pol.admin.hier"	"is.administered.by"	"ཕར་ཀྱང"	"Tibetan"	"Tibetan script"	"Chos1564"	"phar kyang"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Parkyang"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"			
7935	"654-744"	"842-866"	3	3	4501	"Chos1564"	8148	"pol.admin.hier"	"is.administered.by"	"ཀླུང་ཤོད"	"Tibetan"	"Tibetan script"	"Chos1564"	"klung shod"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Lungshö"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Lungsho"	"Tibetan"	"Latin script"
7936	"654-744"	"842-866"	3	3	4501	"Chos1564"	8148	"pol.admin.hier"	"is.administered.by"	"མལ་གྲོ"	"Tibetan"	"Tibetan script"	"Chos1564"	"mal gro"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Meldro"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Medro"	"Tibetan"	"Latin script"
7937	"654-744"	"842-866"	3	3	4501	"Chos1564"	8148	"pol.admin.hier"	"is.administered.by"	"འདམ"	"Tibetan"	"Tibetan script"	"Chos1564"	"'dam"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Dam"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Dam"	"Tibetan"	"Latin script"
7938	"654-744"	"842-866"	3	3	4501	"Chos1564"	8148	"pol.admin.hier"	"is.administered.by"	"བ་ལམ"	"Tibetan"	"Tibetan script"	"Chos1564"	"ba lam"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Balam"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Balam"	"Tibetan"	"Latin script"
7939	"654-744"	"842-866"	3	3	4501	"Chos1564"	8148	"pol.admin.hier"	"is.administered.by"	"ངན་ལམ"	"Tibetan"	"Tibetan script"	"Chos1564"	"ngan lam"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Ngenlam"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Nenlam"	"Tibetan"	"Latin script"
7940	"654-744"	"842-866"	3	3	4501	"Chos1564"	8148	"pol.admin.hier"	"is.administered.by"	"རག་ནས"	"Tibetan"	"Tibetan script"	"Chos1564"	"rag nas"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Rakné"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Rak"	"Tibetan"	"Latin script"
7941	"654-744"	"842-866"	3	3	4501	"Chos1564"	8148	"pol.admin.hier"	"is.administered.by"	"འབྲེང"	"Tibetan"	"Tibetan script"	"Chos1564"	"'breng"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Dreng"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"	"Dran"	"Tibetan"	"Latin script"
7942	"654-744"	"842-866"	3	3	4501	"Chos1564"	8148	"pol.admin.hier"	"is.administered.by"	"གཡུ་ཁུང"	"Tibetan"	"Tibetan script"	"Chos1564"	"g.yu khung"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"thl.ext.wyl.translit"	"Yukhung"	"Tibetan"	"Latin script"	"1.feature_names.name"	"Yes"	"THL Simplified Tibetan Transcription"			
